Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Jalisco,PAN,Alberto Cárdenas Jiménez ,1995-03-01,2001-02-28,http://www.jornada.unam.mx/2009/08/18/fotos/017n1pol-1.jpg,
Jalisco,PAN,Francisco Javier Ramírez Acuña ,2001-03-01,2006-11-21,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Francisco_Javier_Ram%C3%ADrez_Acu%C3%B1a_2013_(cropped).jpg/220px-Francisco_Javier_Ram%C3%ADrez_Acu%C3%B1a_2013_(cropped).jpg,
Jalisco,PAN,Gerardo Octavio Solís Gómez ,2006-11-21,2007-02-28,http://notivallarta.com/wp-content/uploads/2014/02/pgr.jpg,
Jalisco,PAN,Emilio González Márquez ,2007-03-01,2013-02-28,http://www.marcatextos.com/wp-content/uploads/2010/08/Emilio-Glez-Marquez-01-2.jpg,
Jalisco,PRI,Jorge Aristóteles Sandoval Díaz ,2013-03-01,,http://c7jalisco.com/sites/default/files/p44aristoteles_0.jpg,
México,PRI,Ignacio Pichardo Pagaza ,1989-09-01,1993-09-15,http://static.animalpolitico.com/wp-content/uploads/2011/07/Ignacio-Pichardo-Pagaza1.jpg,
México,PRI,Emilio Chuayffet Chemor,1993-09-16,1995-07-02,https://upload.wikimedia.org/wikipedia/commons/2/25/Emilio-Chuayffet.jpg,
México,PRI,César Camacho Quiroz ,1995-07-02,1999-09-15,http://www.periodicoenfoque.com.mx/wp-content/uploads/2013/03/C%C3%A9sar-Camacho-Quiroz.jpg,
México,PRI,Arturo Montiel Rojas ,1999-09-16,2005-09-15,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Arturo_Montiel.jpg/220px-Arturo_Montiel.jpg,
México,PRI,Enrique Peña Nieto ,2005-09-16,2011-09-15,http://redpolitica.mx/sites/default/files/img_perfiles/2012/07/gobernador__del_estado_de_mexico_Enrique_Pena_Nieto1.jpg,
México,PRI,Eruviel Ávila Villegas ,2011-09-16,,http://portal2.edomex.gob.mx/idcprod/groups/public/documents/edomex_imagen/edomex_img_eruviel_avila.jpg,
Michoacán,PRI,Ausencio Chávez Hernández ,1992-10-06,1996-02-15,http://www.revistaresumen.mx/portada/wp-content/uploads/2014/08/8-ausencio-chavez.jpg,
Michoacán,PRI,Víctor Manuel Ticono Rubí ,1996-02-15,2002-02-14,http://mimorelia.com/biofotos/foto_288.jpg,
Michoacán,PRD,Lázaro Cárdenas Batel ,2002-02-14,2008-02-14,http://static.animalpolitico.com/wp-content/uploads/2010/12/batel2.jpg,
Michoacán,PRD,Leonel Godoy Rangel ,2008-02-15,2012-02-14,http://www.clarinveracruzano.com/wp-content/uploads/2010/11/Leonel-Godoy_4.jpg,
Michoacán,PRI,Fausto Vallejo Figueroa ,2012-02-15,2013-04-22,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Faustovallejof.jpg/220px-Faustovallejof.jpg,
Michoacán,PRI,José Jesús Reyna García ,2013-04-22,2013-10-23,http://www.atiempo.mx/wp-content/uploads/2014/04/130813-jesus-reyna-garcia-gobernador-interino-630x320-atiempo-mx.jpg,
Michoacán,PRI,Fausto Vallejo Figueroa ,2012-10-23,2014-06-20,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Faustovallejof.jpg/220px-Faustovallejof.jpg,
Michoacán,INDEPENDIENTE ,Salvador Jara Guerrero ,2014-06-20,2015-09-30,http://www.sr490.com/wp-content/uploads/2015/08/a1.png,
Michoacán,PRD,Silvano Aureoles Conejo ,2015-10-01,,http://www.provincia.com.mx/px/widgets/estatales/imageupload/provincia_20151119_1299927716.jpg,
Morelos,PRI,Antonio Riva Palacios López ,1988-05-18,1994-05-17,http://vallartanoticias.com/wp-content/uploads/2014/07/antonio.jpg,
Morelos,PRI,Jorge Carrillo Olea ,1994-05-18,1998-05-16,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Jorge_carrillo_olea.jpg/150px-Jorge_carrillo_olea.jpg,
Morelos,PRI,Jorge Morales Barud,1998-05-17,2000-09-30,http://www.diariodemorelos.com/sites/default/files/imagecache/400xY/Jorge-Morales-Barud_2.jpg,
Morelos,PRI,Jorge Arturo García Rubí ,2000-05-18,2000-09-30,http://cdn.pagina24.com.mx/content/images/2015/09/10/aguascalientes/local/03.jpg,
Morelos,PAN,Sergio Estrada Cajigal ,2000-10-01,2006-09-30,http://www.redpolitica.mx/sites/default/files/imagecache/400xY/sergio_estradaOk.jpg.jpg,
Morelos,PAN,Marco Adame Castillo ,2006-10-01,2012-09-30,http://www.zonacentronoticias.com/wp-content/uploads/2013/04/1264540649_marco-adame.jpg,
Morelos,PRD,Graco Ramírez Garrido Abreu,2012-10-01,,http://www.zonacentronoticias.com/wp-content/uploads/2012/10/graco-ramirez1.jpg,
Nayarit,PRI,Rigoberto Ochoa Zaragoza ,1993-08-19,1999-09-18,http://diariogenteypoder.com/fotos/101008-1.jpg,
Nayarit,PAN,Antonio Echeverría Domínguez,1999-09-19,2005-09-18,http://correo.uan.edu.mx/~musica/jpg/hp_eda.jpg,
Nayarit,PRI,Ney González Sánchez ,2005-09-19,2011-09-18,https://nvisionnayarit.files.wordpress.com/2012/01/407715_3077337773582_1267865349_3292312_1957335049_n.jpg,
Nayarit,PRI,Roberto Sandoval Castañeda ,2011-09-19,,http://diario-critica.mx/fotos/120830-c1.jpg,
Nuevo León,PRI,Sócrates Rizzo García ,1991-08-01,1996-04-18,https://aaguruapan.files.wordpress.com/2011/11/s25c325b3cratesrizzo.jpg,
Nuevo León,PRI,Benjamín Clariond Reyes-Retana ,1996-04-17,1997-10-03,https://c2.staticflickr.com/6/5140/5551158586_7e3ea42421.jpg,
Nuevo León,PAN,Fernando de Jesús Canales Clariond,1997-10-04,2003-01-13,http://www.pwc.com/mx/es/encuesta-ceo/4a/entrevistas-a-profundidad/assets/fernando-canales.jpg,
Nuevo León,PAN,Fernando Elizondo Barragán ,2003-01-13,2003-10-03,http://image.posta.com.mx/sites/default/files/466098_fernando-elizondo-pan.jpg,
Nuevo León,PRI,José Natividad González Parás ,2003-10-04,2009-10-03,http://www.jornada.unam.mx/2007/12/26/fotos/029n1est-1_mini.jpg,
Nuevo León,PRI,Rodrigo Medina de la Cruz ,2009-10-04,2015-10-03,https://upload.wikimedia.org/wikipedia/commons/3/33/Rodrigo_Medina_de_la_Cruz_Gobernador.jpg,
Nuevo León,INDEPENDIENTE ,Jaime Rodríguez Calderón ,2015-10-04,,http://www.redpolitica.mx/sites/default/files/bronco_nuevoleon.png?1426024722,
Oaxaca,PAN,Dióro Carrasco Altamirano ,1992-12-01,1998-11-30,http://snn.imer.gob.mx/antenaradio/files/2011/10/DiodoroCarrasco.jpg,
Oaxaca,PRI,José Nelson Murat Casab ,1998-12-01,2004-11-30,http://www.redpolitica.mx/sites/default/files/2039.jpg?1386179168,
Oaxaca,PRI,Ulises Ruiz Ortiz ,2004-12-01,2010-11-30,http://www.metricasocial.mx/wp-content/uploads/2015/10/ulises-ruiz-ortiz-oaxacadc3adaadc3ada.jpg,
Oaxaca,MC,Gabino Cué Monteagudo,2010-12-01,,http://oaxacaentrelineas.com/wp-content/uploads/2010/12/22-gabino-cue-monteagudo-luis-cruz-hernandez-07-12-0101.jpg,
Puebla,PRI,Mariano Piña Olaya ,1987-02-01,1993-01-31,http://www.sexenio.com.mx/puebla/diario/20150814/45874.jpg,
Puebla,PT,Manuel Bartlett Díaz ,1993-02-01,1999-01-31,http://www.activista.mx/wp-content/uploads/2013/06/bartlettpemex-05-06-13.jpg,
Puebla,PRI,Melquíades Morales Flores,1999-02-01,2005-01-31,http://www.diariomomento.com/wp-content/uploads/2014/04/para14.jpg,
Puebla,PRI,Mario Plutarco Marín Torres ,2005-02-01,2011-01-31,http://3.bp.blogspot.com/_ovPINqN7S6o/RzDBtSy7r7I/AAAAAAAACFA/YVjDLhtn44U/s400/Mario+Marin+Torres.jpg,
Puebla,PAN,Rafael Moreno Valle Rosas ,2011-02-01,,http://www.sinembargo.mx/wp-content/uploads/2014/07/sesion_pan-11-e1406570980499.jpg,
Querétaro,PRI,Enrique Burgos García,1991-10-01,1997-09-30,http://www.redpolitica.mx/sites/default/files/1293.jpg?1386179938,
Querétaro,PAN,Ignacio Loyola Vera,1997-10-01,2003-09-30,http://www.libertaddepalabra.com/periodico/wp-content/uploads/2012/06/Ex-gobernador-Ignacio-Loyola-Vera.jpg,
Querétaro,PAN,Francisco Garrido Patrón,2003-10-01,2009-09-30,http://www.libertaddepalabra.com/periodico/wp-content/uploads/2009/07/103-garrido-goberno.jpg,
Querétaro,PRI,José Calzada Rovirosa,2009-10-01,2015-08-27,http://www.sagarpa.gob.mx/saladeprensa/imageninstitucional1218/PublishingImages/20150827-Jose-Calzada.jpg,
Querétaro,PRI,Jorge López Portillo Tostado,2015-08-27,2015-09-30,http://i.oem.com.mx/4b0fabfd-2457-4930-bf5e-d34efb1883b9.jpg,
Querétaro,PAN,Francisco Domínguez Servién,2015-10-01,,http://www.libertaddepalabra.com/periodico/wp-content/uploads/2012/06/244-privilegiados-pancho.jpg,
