ENTIDAD,ACREDITADO 2/,ACREEDOR 3/,TIPO DE OBLIGACIÓN 4/,FECHA DE FIRMA 5/,FECHA DE INSCRIPCIÓN 6/,MONTO ORIGINAL CONTRATADO 7/,SALDO AL 30 DE JUNIO DE 2015 8/,PLAZO PACTADO (MESES) 9/,FUENTE O GARANTÍA DE PAGO 10/,DESTINO 11/
JALISCO,ZACOALCO DE TORRES,BANOBRAS,CRÉDITO SIMPLE,06/07/2012,06/12/2012,4935000,2526250,84,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,GOBIERNO DEL ESTADO,SANTANDER,CRÉDITO SIMPLE,06/13/2012,06/14/2012,750000000,681849115.39,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
CHIAPAS,COMITÁN DE DOMÍNGUEZ,BANOBRAS,CRÉDITO SIMPLE,05/07/2012,06/15/2012,25000000,17456896.6,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
CHIHUAHUA,CHIHUAHUA,BANAMEX,CRÉDITO SIMPLE,04/20/2012,06/15/2012,250000000,71534783,54,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,GOBIERNO DEL ESTADO,BANAMEX,CRÉDITO SIMPLE,06/08/2012,06/22/2012,628989198.96,217482998.77,120,INGRESOS PROPIOS/PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,GOMEZ FARIAS,BANSI,CRÉDITO SIMPLE,02/24/2012,06/22/2012,16500000,13320000,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,SULTEPEC,INTERACCIONES,CRÉDITO SIMPLE,03/29/2012,06/25/2012,70000000,0,190,PARTICIPACIONES FEDERALES,REFINANCIAMIENTO
MÉXICO,SULTEPEC,INTERACCIONES,CRÉDITO SIMPLE,03/29/2012,06/25/2012,70000000,67447827.14,240,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
VERACRUZ,TIHUATLAN,FINANCIERA LOCAL,CRÉDITO EN CUENTA CORRIENTE ,05/21/2012,06/26/2012,14490000,0,36,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
GUANAJUATO,VALLE DE SANTIAGO,BAJIO,CRÉDITO SIMPLE,05/14/2012,06/28/2012,6929675.89,2887364.89,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,TEQUILA,BANOBRAS,CRÉDITO SIMPLE,06/25/2012,06/29/2012,5000000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,05/31/2012,07/02/2012,415778159.42,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
BAJA CALIFORNIA,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,05/31/2012,07/02/2012,237191035,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
